clusterhead_1,clusterhead_2,distance
4,8,304.155200
4,11,222.219408
4,23,142.824763
4,25,164.878505
4,28,346.171019
4,33,242.303619
4,36,275.969966
4,46,324.812820
4,53,368.403910
4,65,452.227926
4,67,498.075610
4,69,581.936089
4,72,534.000784
4,74,513.997868
4,81,607.273933
4,88,678.466174
8,11,515.422625
8,23,383.646134
8,25,253.112258
8,28,118.894844
8,33,429.823009
8,36,239.066316
8,46,317.688397
8,53,494.528238
8,65,457.067859
8,67,425.422962
8,69,420.135998
8,72,657.375227
8,74,573.081312
8,81,737.858290
8,88,581.571307
11,23,152.964803
11,25,298.766926
11,28,530.014218
11,33,208.562321
11,36,404.073098
11,46,411.430258
11,53,329.422324
11,65,486.077984
11,67,573.208506
11,69,697.231985
11,72,451.683417
11,74,490.932272
11,81,506.758174
11,88,741.408020
23,25,147.913682
23,28,382.448527
23,33,104.718590
23,36,251.140584
23,46,263.879837
23,53,238.019929
23,65,358.863159
23,67,432.341312
23,69,547.827155
23,72,396.590100
23,74,394.296671
23,81,467.407339
23,88,606.920718
25,28,235.262462
25,33,176.731779
25,36,114.952120
25,46,160.854977
25,53,258.841156
25,65,296.065987
25,67,333.332360
25,69,422.317250
25,72,429.270338
25,74,377.384984
25,81,508.539374
25,88,513.771752
28,33,399.117945
28,36,168.221808
28,46,234.920310
28,53,432.597714
28,65,360.267048
28,67,312.966316
28,69,301.949902
28,72,583.323354
28,74,483.785707
28,81,662.831403
28,88,463.417383
33,36,240.275616
33,46,219.788289
33,53,134.478782
33,65,277.526010
33,67,368.677078
33,69,502.730784
33,72,292.520261
33,74,294.050990
33,81,364.971526
33,88,533.318652
36,46,80.202552
36,53,264.830094
36,65,225.431286
36,67,231.029902
36,69,307.490200
36,72,420.666633
36,74,334.842184
36,81,500.941541
36,88,409.920107
46,53,204.708153
46,65,146.254904
46,67,174.051210
46,69,286.026484
46,72,348.411038
46,74,255.406007
46,81,427.945809
46,88,353.995716
53,65,182.189904
53,67,294.573705
53,69,446.969509
53,72,170.933087
53,74,162.012048
53,81,249.721596
53,88,434.860067
65,67,117.639304
65,69,274.832566
65,72,254.069352
65,74,129.006553
65,81,325.449346
65,88,257.059026
67,69,157.402988
67,72,366.708936
67,74,233.326889
67,81,433.101440
67,88,180.450287
69,72,522.647730
69,74,387.375827
69,81,586.074719
69,88,187.242887
72,74,136.819581
72,81,80.493018
72,88,445.509592
74,81,199.799950
74,88,313.670872
81,88,489.612269
