node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
0,1,74.474338,REGISTERED,13,520.6855813328605
0,10,64.132143,REGISTERED,11,519.6856155982746
2,1,51.722348,REGISTERED,13,520.6855585808707
3,13,64.016155,REGISTERED,9,420.68279460432655
4,5,70.374392,REGISTERED,5,342.10062209163465
4,14,74.472154,REGISTERED,5,352.10083612397364
4,13,95.351614,REGISTERED,9,420.68282593978546
4,3,90.309070,CLUSTER_HEAD,8,410.6827803335536
6,5,49.469594,REGISTERED,5,342.1006011868361
7,8,87.174177,CLUSTER_HEAD,4,1680.1005411918434
7,18,46.652820,ROUTER,1,266.1002961271088
7,19,92.445279,ROUTER,3,265.10051523272085
7,9,85.710396,REGISTERED,5,265.10057280863697
7,28,71.055691,CLUSTER_HEAD,2,252.10063498632806
7,29,84.270766,ROUTER,3,252.10084536246944
7,17,95.158096,ROOT,0,196.10008615809633
7,27,92.446470,ROUTER,1,141.10027356604726
7,38,91.625181,CLUSTER_HEAD,2,141.1005021766831
7,36,79.582057,REGISTERED,2,128.074356269745
7,47,72.249338,REGISTERED,3,150.10197379135514
7,39,57.866081,CLUSTER_HEAD,4,221.10139636133002
7,48,66.111597,ROUTER,3,211.07436275960143
7,37,60.363661,REGISTERED,3,240.1003630474042
7,26,98.575993,REGISTERED,3,157.10043949704337
7,49,73.939771,CLUSTER_HEAD,4,235.10382419182426
8,18,46.652820,ROUTER,1,1680.1002961271088
8,19,92.445279,ROUTER,3,1680.100515232721
8,9,85.710396,REGISTERED,5,1680.100572808637
8,28,71.055691,CLUSTER_HEAD,2,252.10063498632806
8,29,84.270766,ROUTER,3,252.10084536246944
8,17,95.158096,ROOT,0,196.10008615809633
8,27,92.446470,ROUTER,1,141.10027356604726
8,38,91.625181,CLUSTER_HEAD,2,141.1005021766831
8,36,79.582057,REGISTERED,2,128.074356269745
8,47,72.249338,REGISTERED,3,150.10197379135514
8,57,70.288102,ROUTER,5,147.1017840433403
8,39,57.866081,CLUSTER_HEAD,4,221.10139636133002
8,48,66.111597,ROUTER,3,211.07436275960143
8,46,94.389755,CLUSTER_HEAD,4,137.1015519757288
8,56,77.132400,REGISTERED,5,136.10176886770276
8,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
8,37,60.363661,REGISTERED,3,240.1003630474042
8,26,98.575993,REGISTERED,3,157.10043949704337
8,49,73.939771,CLUSTER_HEAD,4,235.10382419182426
8,45,67.011410,ROUTER,5,266.6805911256383
8,44,62.317574,CLUSTER_HEAD,6,266.6811623369651
9,18,93.203161,ROUTER,1,1680.10034267745
9,19,78.685819,ROUTER,3,1680.1005014732616
9,28,71.055691,CLUSTER_HEAD,2,252.10063498632806
9,29,84.270766,ROUTER,3,252.10084536246944
9,17,95.158096,ROOT,0,196.10008615809633
9,27,92.446470,ROUTER,1,141.10027356604726
9,38,91.625181,CLUSTER_HEAD,2,141.1005021766831
9,36,79.582057,REGISTERED,2,128.074356269745
9,47,72.249338,REGISTERED,3,150.10197379135514
9,57,70.288102,ROUTER,5,147.1017840433403
9,39,57.866081,CLUSTER_HEAD,4,221.10139636133002
9,48,66.111597,ROUTER,3,211.07436275960143
9,46,94.389755,CLUSTER_HEAD,4,137.1015519757288
9,56,77.132400,REGISTERED,5,136.10176886770276
9,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
9,37,60.363661,REGISTERED,3,240.1003630474042
9,26,98.575993,REGISTERED,3,157.10043949704337
9,49,73.939771,CLUSTER_HEAD,4,235.10382419182426
9,45,67.011410,ROUTER,5,266.6805911256383
9,44,62.317574,CLUSTER_HEAD,6,266.6811623369651
11,10,95.310837,ROUTER,9,459.68411382226293
11,22,54.602720,REGISTERED,9,589.4578301889808
11,21,76.801481,ROUTER,9,458.6840396927039
11,20,86.143492,ROUTER,9,459.18994239316896
12,22,51.325019,REGISTERED,9,589.4578269112798
12,13,65.431634,REGISTERED,9,420.68279601980566
12,11,75.001104,CLUSTER_HEAD,8,429.6838344878826
12,3,83.983455,CLUSTER_HEAD,8,410.6827740079386
14,24,53.321554,REGISTERED,7,431.10098715782254
14,23,96.439094,CLUSTER_HEAD,6,370.6823713832122
14,13,84.630940,REGISTERED,9,420.68281521911143
15,16,45.692444,ROUTER,1,1680.1002829979348
15,5,62.828254,REGISTERED,5,342.1006145454964
15,6,81.537919,CLUSTER_HEAD,4,331.10109320173933
15,24,99.513862,REGISTERED,7,431.1010333501305
16,17,91.101830,ROOT,0,1680.1000821018304
16,26,41.791376,CLUSTER_HEAD,3,302.1007123449692
16,25,72.861431,CLUSTER_HEAD,2,272.1006038147653
16,35,87.535684,ROUTER,3,106.10085409607059
16,34,89.633331,CLUSTER_HEAD,3,106.68104441829512
16,46,89.675899,CLUSTER_HEAD,4,116.1015472618729
16,33,98.760250,CLUSTER_HEAD,4,125.68114330546449
16,24,68.248194,REGISTERED,3,136.10077694611223
16,36,98.575993,REGISTERED,2,128.07437526368062
16,56,87.049776,REGISTERED,5,126.42580483505431
16,57,94.389755,ROUTER,5,126.10180814499351
16,55,95.604740,ROUTER,5,126.4258298182291
16,43,37.963008,CLUSTER_HEAD,5,136.16912478196036
16,32,77.309711,ROUTER,5,135.68132678405757
16,23,80.896554,CLUSTER_HEAD,6,162.6823558406721
16,13,62.060166,CLUSTER_HEAD,7,155.68249618478134
16,12,85.688200,ROUTER,7,155.682590696917
16,31,74.981929,REGISTERED,6,126.68247091892921
16,5,62.828254,UNREGISTERED,4,172.1010557824086
16,6,81.537919,CLUSTER_HEAD,4,191.10109320173933
16,65,65.072549,CLUSTER_HEAD,6,136.10270054586084
16,47,70.288102,REGISTERED,3,137.07433252426435
16,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
16,3,64.016155,REGISTERED,8,147.57146763169254
16,11,75.001104,CLUSTER_HEAD,8,165.68383448788262
16,42,86.425717,REGISTERED,5,175.68138043240708
16,53,99.390406,CLUSTER_HEAD,6,175.98063873212726
16,14,78.717281,ROUTER,3,221.68261731085073
16,75,83.018444,ROUTER,7,146.1029405470864
16,38,72.249338,CLUSTER_HEAD,2,147.10048280084035
16,58,86.563998,ROUTER,7,146.10302105686276
16,77,96.333817,ROUTER,7,146.10306013613908
16,21,76.801481,ROUTER,9,176.38997425177348
16,10,95.310837,ROUTER,9,175.6841137301284
16,20,86.143492,REGISTERED,9,176.38998991722872
16,40,77.745045,ROUTER,11,187.6825424270895
16,41,74.723845,CLUSTER_HEAD,11,187.26199894834485
16,52,92.904227,UNREGISTERED,6,205.68234239133355
16,4,70.374392,CLUSTER_HEAD,4,232.68318993180947
16,66,63.564658,CLUSTER_HEAD,6,196.7990819400035
16,64,84.412897,REGISTERED,7,196.1020135190214
16,27,79.582057,ROUTER,1,237.1002607016348
16,28,92.446470,CLUSTER_HEAD,2,210.1006563771068
16,18,72.524199,ROUTER,1,141.10032199848757
16,29,74.720355,REGISTERED,3,140.9488453128149
16,19,71.055691,CLUSTER_HEAD,3,201.1004938431331
16,37,76.627297,REGISTERED,3,237.10037931103977
16,48,66.111597,ROUTER,3,211.07436275960143
16,39,57.866081,CLUSTER_HEAD,4,221.10139636133002
16,49,73.939771,CLUSTER_HEAD,4,235.10382419182426
16,54,88.750124,REGISTERED,7,208.6815898697812
16,45,67.011410,ROUTER,5,266.6805911256383
16,44,62.317574,CLUSTER_HEAD,6,266.6811623369651
17,27,72.373193,ROUTER,1,1680.1002534927702
17,18,95.158096,ROUTER,1,1680.1003446323853
18,28,72.524199,CLUSTER_HEAD,2,1680.100636454836
18,27,92.446470,ROUTER,1,141.10027356604726
18,38,91.625181,CLUSTER_HEAD,2,141.1005021766831
18,29,74.720355,REGISTERED,3,140.9488453128149
18,36,79.582057,REGISTERED,2,128.074356269745
18,47,72.249338,REGISTERED,3,150.10197379135514
18,57,70.288102,ROUTER,5,147.1017840433403
18,46,94.389755,CLUSTER_HEAD,4,137.1015519757288
18,56,77.132400,REGISTERED,5,136.10176886770276
18,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
18,35,89.675899,ROUTER,3,127.10085623628565
18,55,95.604740,ROUTER,5,126.4258298182291
18,19,58.201771,ROUTER,3,1680.1004809892136
18,65,65.072549,CLUSTER_HEAD,6,136.10270054586084
18,58,86.563998,ROUTER,7,146.10302105686276
18,77,96.333817,ROUTER,7,146.10306013613908
18,39,57.866081,CLUSTER_HEAD,4,221.10139636133002
18,48,66.111597,ROUTER,3,211.07436275960143
18,37,60.363661,REGISTERED,3,240.1003630474042
18,26,98.575993,REGISTERED,3,157.10043949704337
18,66,63.564658,CLUSTER_HEAD,6,196.7990819400035
18,64,84.412897,REGISTERED,7,196.1020135190214
18,14,97.105179,ROUTER,3,226.68263569874796
18,49,73.939771,CLUSTER_HEAD,4,235.10382419182426
18,76,93.776157,CLUSTER_HEAD,7,206.103745147921
18,45,67.011410,ROUTER,5,266.6805911256383
18,44,62.317574,CLUSTER_HEAD,6,266.6811623369651
19,28,71.055691,CLUSTER_HEAD,2,1680.1006349863283
19,29,84.270766,ROUTER,3,1680.1008453624693
19,17,95.158096,ROOT,0,196.10008615809633
19,27,92.446470,ROUTER,1,141.10027356604726
19,38,91.625181,CLUSTER_HEAD,2,141.1005021766831
19,36,79.582057,REGISTERED,2,128.074356269745
19,47,72.249338,REGISTERED,3,150.10197379135514
19,57,70.288102,ROUTER,5,147.1017840433403
19,46,94.389755,CLUSTER_HEAD,4,137.1015519757288
19,56,77.132400,REGISTERED,5,136.10176886770276
19,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
19,35,89.675899,ROUTER,3,127.10085623628565
19,55,95.604740,ROUTER,5,126.4258298182291
19,65,65.072549,CLUSTER_HEAD,6,136.10270054586084
19,58,86.563998,ROUTER,7,146.10302105686276
19,77,96.333817,ROUTER,7,146.10306013613908
19,39,57.866081,CLUSTER_HEAD,4,221.10139636133002
19,48,66.111597,ROUTER,3,211.07436275960143
19,37,60.363661,REGISTERED,3,240.1003630474042
19,26,98.575993,REGISTERED,3,157.10043949704337
19,66,63.564658,CLUSTER_HEAD,6,196.7990819400035
19,64,84.412897,REGISTERED,7,196.1020135190214
19,14,97.105179,ROUTER,3,226.68263569874796
19,49,73.939771,CLUSTER_HEAD,4,235.10382419182426
19,76,93.776157,CLUSTER_HEAD,7,206.103745147921
19,45,67.011410,ROUTER,5,266.6805911256383
19,44,62.317574,CLUSTER_HEAD,6,266.6811623369651
20,10,76.764530,ROUTER,9,459.6840952759554
20,30,96.399125,CLUSTER_HEAD,10,488.68395974689554
21,22,82.436788,REGISTERED,9,589.4578580230494
21,30,90.075680,CLUSTER_HEAD,10,488.68395342345076
21,31,95.812637,CLUSTER_HEAD,10,488.68298186080443
23,13,62.060166,REGISTERED,9,420.6827926483371
23,24,80.896554,REGISTERED,7,431.1010147328227
23,12,85.688200,ROUTER,7,399.682590696917
23,32,91.479135,REGISTERED,7,400.6814780456773
25,26,44.412092,CLUSTER_HEAD,3,272.10038533314224
25,35,87.535684,ROUTER,3,272.1008540960706
25,34,89.633331,ROUTER,3,271.68041170461066
25,17,91.101830,ROOT,0,97.10008210183042
25,46,89.675899,CLUSTER_HEAD,4,116.1015472618729
25,33,98.760250,CLUSTER_HEAD,4,125.68114330546449
25,24,68.248194,REGISTERED,3,272.1007769461122
25,36,98.575993,REGISTERED,2,128.07437526368062
25,56,87.049776,REGISTERED,5,126.42580483505431
25,57,94.389755,ROUTER,5,126.10180814499351
25,55,95.604740,ROUTER,5,126.4258298182291
25,43,37.963008,CLUSTER_HEAD,5,136.16912478196036
25,32,77.309711,ROUTER,5,135.68132678405757
25,15,80.475933,ROUTER,3,272.1004974257342
25,23,80.896554,CLUSTER_HEAD,6,162.6823558406721
25,13,62.060166,CLUSTER_HEAD,7,155.68249618478134
25,12,85.688200,ROUTER,7,155.682590696917
25,31,74.981929,REGISTERED,6,126.68247091892921
25,65,65.072549,CLUSTER_HEAD,6,136.10270054586084
25,47,70.288102,REGISTERED,3,137.07433252426435
25,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
25,5,62.828254,UNREGISTERED,4,172.1010557824086
25,6,81.537919,CLUSTER_HEAD,4,191.10109320173933
25,3,64.016155,REGISTERED,8,147.57146763169254
25,11,75.001104,CLUSTER_HEAD,8,165.68383448788262
25,42,86.425717,REGISTERED,5,175.68138043240708
25,53,99.390406,CLUSTER_HEAD,6,175.98063873212726
25,14,97.105179,ROUTER,3,271.68263569874796
25,75,83.018444,ROUTER,7,146.1029405470864
25,38,72.249338,CLUSTER_HEAD,2,147.10048280084035
25,58,86.563998,ROUTER,7,146.10302105686276
25,77,96.333817,ROUTER,7,146.10306013613908
25,27,85.477308,ROUTER,1,151.10026659688577
25,28,91.625181,CLUSTER_HEAD,2,150.10065555581815
25,21,76.801481,ROUTER,9,176.38997425177348
25,10,95.310837,ROUTER,9,175.6841137301284
25,20,86.143492,REGISTERED,9,176.38998991722872
25,40,77.745045,ROUTER,11,187.6825424270895
25,41,74.723845,CLUSTER_HEAD,11,187.26199894834485
25,30,90.075680,CLUSTER_HEAD,10,186.6839534234508
25,50,85.446159,CLUSTER_HEAD,12,196.684266308353
25,54,41.838067,REGISTERED,7,195.6815429577244
25,63,51.640322,ROUTER,7,196.3953413887668
25,52,92.904227,UNREGISTERED,6,205.68234239133355
25,4,74.472154,CLUSTER_HEAD,4,233.6831940295714
25,85,52.032478,REGISTERED,8,137.83852275239633
25,84,64.336233,UNREGISTERED,8,137.1040944328528
25,74,74.596483,CLUSTER_HEAD,8,156.10411495335288
25,66,63.564658,CLUSTER_HEAD,6,196.7990819400035
25,59,67.388531,UNREGISTERED,8,137.10428198464555
25,68,76.453797,UNREGISTERED,8,137.10430011517704
25,69,92.394587,CLUSTER_HEAD,8,156.10433199675614
25,78,77.796737,UNREGISTERED,8,137.10437246656488
25,88,86.894004,CLUSTER_HEAD,8,156.58406141012964
25,64,84.412897,REGISTERED,7,196.1020135190214
25,0,64.132143,CLUSTER_HEAD,10,191.68545020184482
25,51,79.591605,ROUTER,7,226.68340791354777
25,18,72.524199,ROUTER,1,141.10032199848757
25,29,74.720355,REGISTERED,3,140.9488453128149
25,19,71.055691,CLUSTER_HEAD,3,201.1004938431331
25,37,76.627297,REGISTERED,3,237.10037931103977
25,76,75.040905,CLUSTER_HEAD,7,206.10372641266844
25,48,71.760439,ROUTER,3,207.10065364673116
25,73,87.932609,ROUTER,9,196.10436508730388
25,83,94.243218,ROUTER,9,196.44938341948793
25,45,67.011410,ROUTER,5,266.6805911256383
25,44,62.317574,CLUSTER_HEAD,6,266.6811623369651
26,36,98.575993,REGISTERED,5,342.07457198720607
27,28,92.446470,CLUSTER_HEAD,2,1680.1006563771068
27,38,85.477308,CLUSTER_HEAD,2,1680.1004960288103
27,36,79.582057,REGISTERED,5,342.0745529932705
27,29,74.720355,REGISTERED,3,140.9488453128149
27,47,72.249338,REGISTERED,3,150.10197379135514
27,57,70.288102,ROUTER,5,147.1017840433403
27,46,94.389755,CLUSTER_HEAD,4,137.1015519757288
27,56,77.132400,REGISTERED,5,136.10176886770276
27,67,93.340231,CLUSTER_HEAD,6,136.10279514110172
27,35,89.675899,ROUTER,3,127.10085623628565
27,55,95.604740,ROUTER,5,126.4258298182291
27,34,52.791319,ROUTER,3,116.68037486259881
27,65,65.072549,CLUSTER_HEAD,6,136.10270054586084
27,58,86.563998,ROUTER,7,146.10302105686276
27,77,96.333817,ROUTER,7,146.10306013613908
27,48,66.111597,ROUTER,3,211.07436275960143
27,75,83.018444,ROUTER,7,146.1029405470864
27,59,67.388531,UNREGISTERED,8,137.10428198464555
27,68,76.453797,UNREGISTERED,8,137.10430011517704
27,69,92.394587,CLUSTER_HEAD,8,156.10433199675614
