node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,77.079498,153.298812,208.612781,300.932984,381.762422,423.404938,521.981474,584.856667,683.072005,67.141064,105.206494,126.278683,241.295084,317.122709,370.834216,448.946169,521.561932,594.498725,648.462650,135.553958,149.921926,187.538738,268.656110,325.497124,397.992579,466.480750,569.880273,633.156324,696.890618,189.895853,208.173524,243.976594,301.390840,370.202531,426.433565,519.894667,595.286285,637.752389,704.850822,263.270335,294.194240,359.356056,377.803549,412.904148,487.659468,567.081739,605.340029,658.034024,731.764726,371.555782,398.435338,410.804988,419.444399,480.436615,519.522373,586.653245,633.109384,699.533511,762.134636,429.767120,423.906267,461.389642,514.551370,567.436553,596.236339,673.972639,731.880552,742.171721,808.529819,520.177262,543.995798,570.451182,565.974161,629.647618,636.531243,718.166341,760.023516,832.133935,870.065967,569.218103,593.860116,630.080542,670.982555,686.607403,694.610385,770.653187,815.972852,882.958851,914.145430,662.366550,660.989257,699.063929,710.376890,768.066403,796.212548,834.657252,862.729632,925.215993,992.776391
1,77.079498,0.000000,76.257007,131.929942,223.853711,304.692621,346.331424,444.924130,507.777602,606.043177,105.926042,66.368847,63.463804,167.692769,242.395033,294.523112,373.057124,444.830504,518.243385,571.764584,166.354899,124.599037,135.636373,211.831153,257.365015,325.389401,394.390647,496.044222,558.691270,621.200865,195.954538,200.274159,208.220092,250.451594,309.532218,363.917496,450.111846,524.669423,566.429042,631.616197,268.618727,279.682471,327.469092,330.821582,360.098078,427.234735,502.959204,538.192141,589.584017,661.069376,378.374204,384.934490,388.828238,384.674238,432.490526,468.068731,529.310800,571.344474,635.196717,695.264689,436.595494,414.054434,437.076685,483.671203,525.607992,550.210805,620.204550,673.450206,680.363336,744.032909,518.556166,533.355584,548.044457,535.167768,592.531732,592.921371,668.333621,706.824077,773.129948,808.461268,572.436006,581.899165,610.892380,642.941641,651.934634,655.139796,724.221506,765.808018,828.254146,857.690175,663.992531,649.418212,683.165830,686.774735,735.709190,760.542159,791.013662,814.547583,872.454856,938.195413
2,153.298812,76.257007,0.000000,58.280370,147.696468,228.631608,270.239505,368.682663,431.623693,530.085268,170.555204,95.175677,59.960657,98.249013,169.288672,218.937005,297.858578,368.731547,442.551165,495.674794,218.282716,139.642798,112.790749,168.791569,194.322757,254.638105,323.832577,422.999019,484.837269,546.015017,226.101143,217.391712,194.236024,212.705562,255.596538,306.158912,382.096758,455.284862,496.087045,559.002095,291.341692,282.471875,308.507486,293.832020,314.832838,371.031959,441.404720,472.813239,522.451851,591.190357,396.731765,383.163190,378.056681,360.017629,391.236120,421.987797,475.494505,512.019475,572.545835,629.532882,453.038626,414.935211,422.210222,460.516990,489.557719,509.083240,569.593119,617.228182,620.331727,680.758467,524.806883,530.308919,532.597918,511.038670,560.654032,553.922858,621.689644,656.183772,715.761925,748.123482,582.369088,576.607432,597.734528,620.093584,621.932964,619.941313,680.848082,718.100338,775.305965,802.733145,670.991358,643.484820,672.397592,668.030930,707.287566,728.401265,750.160581,768.687187,821.398504,884.943461
3,208.612781,131.929942,58.280370,0.000000,94.616997,174.162350,215.778943,315.196930,377.216411,474.783541,228.818180,151.026584,113.903698,80.703491,132.468935,172.052868,251.333920,317.830131,393.366381,444.473490,274.679832,188.140490,145.986951,177.190005,175.645762,219.699226,287.710838,380.876421,440.589578,498.189346,276.029370,262.352492,223.676161,222.231795,245.541421,289.445216,349.397189,419.559975,458.458760,516.975119,336.599933,317.743889,328.616455,299.664873,311.897822,354.515840,417.047523,442.944416,489.634208,553.762448,437.979013,413.048431,402.075761,374.171700,390.127747,415.489871,459.919518,489.607224,545.450146,597.996593,492.538612,445.897246,442.399934,473.731908,491.453791,506.027086,556.387811,597.497559,596.138357,652.187249,557.616938,557.121051,550.671221,522.711865,565.278336,552.292207,612.055497,642.203960,694.089779,722.833544,616.875674,601.415073,616.777457,631.544582,627.515478,621.052421,673.927676,706.683051,758.164172,783.300605,703.053923,667.253681,692.527091,682.264998,713.484285,731.304521,745.141877,758.788368,806.010058,866.989817
4,300.932984,223.853711,147.696468,94.616997,0.000000,81.016988,122.564670,221.191292,283.932086,382.492026,313.042060,228.767311,191.613311,89.375777,67.875194,81.197865,158.999530,223.224052,299.019234,349.863089,349.109281,250.089802,192.102106,180.946468,134.545527,143.403699,206.117024,290.970387,348.653537,404.179247,335.135786,312.816534,252.022571,219.535765,207.716819,236.680747,270.415719,335.673812,372.144871,426.373462,383.996597,347.923908,332.577027,282.435645,279.531402,298.311694,347.411508,365.601694,408.166263,466.973679,474.253161,429.351941,408.702523,365.639499,356.155255,372.044483,401.526620,421.067431,470.096761,516.984988,524.044098,462.938116,440.940162,459.574481,458.556212,465.059003,499.348975,530.897693,523.811039,574.113037,575.087507,563.803426,542.461085,504.600607,534.834667,512.420542,559.208057,582.813277,623.997271,648.101245,636.398769,603.657717,608.808510,610.714397,597.368727,584.059664,624.128609,650.098823,693.361472,715.358616,716.717559,666.530120,685.138473,665.149577,682.983534,695.453518,697.263337,703.798360,743.147335,800.397995
5,381.762422,304.692621,228.631608,174.162350,81.016988,0.000000,41.658855,141.152471,203.161328,301.482339,393.438562,308.389022,271.632269,161.587017,102.744781,53.758839,98.564080,147.008623,224.511008,272.015964,426.842003,325.138788,263.964150,234.546138,164.510805,126.206258,167.992575,230.144081,281.678099,330.523946,407.426239,381.884144,312.897970,264.880891,226.692769,236.560110,231.534874,285.373784,316.503472,361.485117,450.065582,405.768554,374.643061,311.768495,296.124314,288.819116,318.286500,324.834026,359.858178,408.846157,532.649747,476.282960,449.641980,397.055771,366.362528,372.202460,384.181258,390.662771,429.380524,467.384012,578.762788,509.518441,474.988778,483.071662,465.654905,464.183524,480.577971,500.262830,486.103690,527.946922,619.812204,601.031204,568.678237,523.544459,542.133912,511.310719,543.712403,559.670466,587.602460,605.547781,681.673558,636.877903,633.944172,625.047394,603.624570,584.145843,610.681829,629.009451,662.461290,680.529994,756.895494,696.513755,709.569066,681.785552,687.494147,694.785176,684.721549,683.721362,713.940804,766.384769
6,423.404938,346.331424,270.239505,215.778943,122.564670,41.658855,0.000000,99.819447,161.502614,259.958565,434.343573,348.907965,312.406139,200.213129,134.882408,75.568702,78.937028,108.624974,186.455982,231.642363,466.226377,363.480656,301.302161,265.275083,189.075590,133.080747,157.507892,201.391027,247.999445,292.390125,444.226706,417.319661,345.302625,291.594994,243.220357,243.483795,216.990809,262.167084,289.463141,328.377953,483.817825,436.015625,398.050288,330.409123,309.178945,288.961928,306.867516,306.566116,336.601898,379.352264,562.426145,500.957681,471.712538,415.218561,374.741490,375.399156,377.964680,377.193165,409.648693,442.310561,606.574876,533.795806,493.544115,496.423736,471.021091,465.493592,472.311970,485.409680,467.502739,504.371797,642.584264,620.228010,582.656306,534.268514,546.837564,511.993036,536.590502,548.363256,568.991399,583.509073,704.454466,653.905384,646.969728,632.702419,607.320829,584.821128,604.136536,618.324178,646.387485,662.279396,776.871675,711.639123,721.851368,690.276771,689.783739,694.374840,678.207921,673.265203,698.525906,748.223893
7,521.981474,444.924130,368.682663,315.196930,221.191292,141.152471,99.819447,0.000000,64.405264,164.558821,529.760777,443.468699,407.839006,292.031147,219.454733,157.877498,98.982730,34.246146,96.535926,133.106967,557.208828,452.522850,388.803335,340.381654,257.306521,179.642367,161.771302,143.627260,169.426932,198.933138,528.936443,499.121894,421.586665,357.801623,292.012420,272.489627,198.756982,214.434300,228.529923,248.187291,561.022395,505.920040,453.787677,378.315096,346.262288,298.720923,287.127459,268.960527,283.641394,307.675588,629.546448,557.243064,522.695198,458.941290,398.101597,386.832036,366.823840,347.987446,362.940351,380.678813,668.627034,588.628793,536.109431,527.039966,483.840259,468.930170,452.403528,448.751506,421.871626,445.197568,692.430087,662.016477,612.897581,557.915589,556.083120,512.565695,517.705364,518.945210,521.059300,526.806759,753.640440,690.150308,673.919797,647.224046,612.914455,583.660361,585.195862,589.041456,603.459376,613.796538,818.704253,742.662986,746.024494,705.886689,690.643253,688.704598,658.083579,643.654907,656.499668,698.964487
8,584.856667,507.777602,431.623693,377.216411,283.932086,203.161328,161.502614,64.405264,0.000000,100.154539,593.852738,507.667451,471.881454,356.385686,283.796453,222.278143,159.576362,80.776941,82.876347,87.056739,621.609994,516.876407,453.099815,403.196200,319.531154,239.401663,210.338900,158.494610,158.150744,161.543308,592.843921,562.637142,484.290981,418.652323,349.105111,323.664854,233.258927,228.186132,229.914880,227.823439,623.564125,566.884019,510.952868,433.727117,398.456398,341.114550,314.677626,286.027379,288.181326,293.827300,689.337463,613.906466,577.745941,511.926872,443.818837,427.376612,396.165146,366.944709,368.909265,373.741389,726.728393,644.628098,587.929392,574.032698,523.184452,503.766597,474.252491,459.612832,426.852572,438.694802,746.107309,712.652035,658.923867,601.458401,592.614256,545.136979,538.900207,533.330393,522.137018,520.795626,806.808450,738.279594,717.977633,685.469697,646.865877,614.278563,605.312307,602.411462,607.042350,613.065816,868.612743,788.159696,788.286760,744.196468,721.243177,715.615205,676.556142,656.104462,660.093936,696.687001
9,683.072005,606.043177,530.085268,474.783541,382.492026,301.482339,259.958565,164.558821,100.154539,0.000000,693.576750,607.541288,571.574027,456.467924,383.913135,322.432369,257.621303,177.131545,140.195880,91.644464,721.763975,616.992146,553.164684,501.792752,417.734043,335.923485,298.324739,220.885186,189.665891,147.727355,692.476685,661.841493,582.661749,515.172224,442.135597,411.019115,307.123901,279.854885,265.803008,231.578363,721.609158,663.163830,603.015506,524.275224,485.799193,418.760436,376.389304,336.747560,322.441568,300.461083,783.989884,704.947047,666.993076,599.111606,523.191366,500.912616,456.859486,415.557194,399.853669,385.428613,819.213810,734.745332,673.195033,653.443771,593.614844,568.800069,522.969595,493.660336,453.714134,447.904482,832.943410,795.736754,736.423139,676.269110,658.480634,606.525628,585.171048,570.251971,539.995241,527.877974,892.781926,817.996083,792.497888,752.574833,708.650502,672.013534,648.788204,636.378280,626.563658,625.943805,950.092792,864.146024,859.959905,810.876665,777.647693,766.978772,716.556430,687.764587,678.597848,705.619803
