Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.ROUTER,8.294440854398385
1,"(288.39593518355304, 288.0481222456288)",Roles.CLUSTER_HEAD,8.24500539519827
2,"(308.98076116618637, 335.49774031857385)",Roles.ROUTER,8.184678499198323
3,"(342.16585212788175, 419.4904403510567)",Roles.CLUSTER_HEAD,6.251561523199559
4,"(343.3578814573981, 509.7916433384222)",Roles.CLUSTER_HEAD,6.564810380799263
5,"(352.5913183498242, 579.5576717500652)",Roles.ROUTER,6.686433078399165
6,"(335.8714816088192, 626.1161055510662)",Roles.CLUSTER_HEAD,8.457744390398439
7,"(327.96024692771925, 744.0616929461078)",Roles.REGISTERED,9.240211583999148
8,"(383.45203251470497, 811.2926300723258)",Roles.CLUSTER_HEAD,6.705286563198939
9,"(380.6850497565745, 896.9583509474294)",Roles.REGISTERED,7.635464678398043
10,"(367.2850207354376, 208.84242699249873)",Roles.CLUSTER_HEAD,7.533546534398405
11,"(405.1122227645597, 296.3253311892933)",Roles.CLUSTER_HEAD,5.905302022399682
12,"(410.8134917752647, 371.10942812349435)",Roles.UNREGISTERED,5.120706313600794
13,"(403.9676452400324, 436.1819505169789)",Roles.UNREGISTERED,5.453096588800301
14,"(417.1573330211249, 519.7787697320746)",Roles.UNREGISTERED,4.610359849600247
15,"(412.5399850072118, 598.3605136804681)",Roles.ROUTER,1.998742720001699
16,"(440.50925294693764, 634.4924864558013)",Roles.CLUSTER_HEAD,3.4926046432020827
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999995.5751111928
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,5.137029024000825
19,"(454.6865327646599, 870.2144046926178)",Roles.ROUTER,5.676614838399806
20,"(443.35619157135443, 219.1366012033227)",Roles.ROUTER,6.7723683551989975
21,"(469.4107732082542, 254.32337948641242)",Roles.ROUTER,5.817654585600016
22,"(445.396563104705, 333.1849148574987)",Roles.REGISTERED,6.907305583998488
23,"(466.0261333322873, 436.63829044609327)",Roles.UNREGISTERED,4.527825068801489
24,"(470.42647134638656, 517.4150787231281)",Roles.UNREGISTERED,4.080246953602059
25,"(491.4087952649592, 582.3578082659651)",Roles.ROUTER,1.9987384320016337
26,"(481.3468673013436, 625.615079242931)",Roles.CLUSTER_HEAD,6.4714775583991395
27,"(523.5043217466362, 727.4169233561219)",Roles.ROUTER,4.637653564801187
28,"(502.1912945629907, 817.3730494744311)",Roles.CLUSTER_HEAD,4.919844678400883
29,"(537.9877507944701, 882.9607406809912)",Roles.ROUTER,7.446769622398548
30,"(536.4700090161373, 194.184481644502)",Roles.CLUSTER_HEAD,7.712474575998028
31,"(555.2323151700867, 296.92296003569044)",Roles.CLUSTER_HEAD,5.444129241600199
32,"(521.4624713803374, 363.86985911479513)",Roles.UNREGISTERED,4.622483308801045
33,"(569.9859632760746, 424.05509087071204)",Roles.CLUSTER_HEAD,6.219986041599537
34,"(557.7200595288871, 522.0506755652727)",Roles.REGISTERED,4.0898212800014715
35,"(578.1675753581486, 570.7212259419553)",Roles.CLUSTER_HEAD,2.4547299776015423
36,"(572.0054778544193, 664.3222192721264)",Roles.ROUTER,5.5451351071998936
37,"(582.4927592381741, 740.2284742257018)",Roles.REGISTERED,5.88027687679946
38,"(587.5378132553625, 784.0391996730152)",Roles.CLUSTER_HEAD,4.745361558401154
39,"(595.0514568377649, 892.563700607582)",Roles.CLUSTER_HEAD,7.642647292798233
40,"(576.622956559712, 222.17851268988608)",Roles.ROUTER,6.663215900799292
41,"(625.9039045187424, 272.6499393636584)",Roles.REGISTERED,6.071513641599305
