Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.CLUSTER_HEAD,9.921205155199939
1,"(288.39593518355304, 288.0481222456288)",Roles.ROUTER,9.939314313599947
2,"(308.98076116618637, 335.49774031857385)",Roles.CLUSTER_HEAD,9.957459222399958
3,"(342.16585212788175, 419.4904403510567)",Roles.REGISTERED,9.888520553599765
4,"(343.3578814573981, 509.7916433384222)",Roles.CLUSTER_HEAD,9.816193958399921
5,"(352.5913183498242, 579.5576717500652)",Roles.REGISTERED,9.828051942399895
6,"(335.8714816088192, 626.1161055510662)",Roles.CLUSTER_HEAD,9.934420367999909
7,"(327.96024692771925, 744.0616929461078)",Roles.REGISTERED,9.984926623999975
8,"(383.45203251470497, 811.2926300723258)",Roles.CLUSTER_HEAD,9.873877039999822
9,"(380.6850497565745, 896.9583509474294)",Roles.UNREGISTERED,9.90771967039981
10,"(367.2850207354376, 208.84242699249873)",Roles.ROUTER,9.891469103999885
11,"(405.1122227645597, 296.3253311892933)",Roles.CLUSTER_HEAD,9.692287951999905
12,"(410.8134917752647, 371.10942812349435)",Roles.ROUTER,9.678696502399855
13,"(403.9676452400324, 436.1819505169789)",Roles.ROUTER,9.73722036159985
14,"(417.1573330211249, 519.7787697320746)",Roles.REGISTERED,9.935866758399897
15,"(412.5399850072118, 598.3605136804681)",Roles.ROUTER,9.670960185599633
16,"(440.50925294693764, 634.4924864558013)",Roles.ROUTER,9.348107119999764
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999998.5972364601
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,9.617530758399944
19,"(454.6865327646599, 870.2144046926178)",Roles.ROUTER,9.826585103999737
20,"(443.35619157135443, 219.1366012033227)",Roles.ROUTER,9.861912019199856
21,"(469.4107732082542, 254.32337948641242)",Roles.ROUTER,9.783458303999915
22,"(445.396563104705, 333.1849148574987)",Roles.UNREGISTERED,9.934740835199843
23,"(466.0261333322873, 436.63829044609327)",Roles.CLUSTER_HEAD,9.653800127999794
24,"(470.42647134638656, 517.4150787231281)",Roles.REGISTERED,9.752077948799776
25,"(491.4087952649592, 582.3578082659651)",Roles.CLUSTER_HEAD,8.90763518719993
26,"(481.3468673013436, 625.615079242931)",Roles.REGISTERED,9.705285231999635
27,"(523.5043217466362, 727.4169233561219)",Roles.ROUTER,9.611991590399754
28,"(502.1912945629907, 817.3730494744311)",Roles.CLUSTER_HEAD,9.614490902399691
29,"(537.9877507944701, 882.9607406809912)",Roles.ROUTER,9.854144239999915
30,"(536.4700090161373, 194.184481644502)",Roles.CLUSTER_HEAD,9.933134425599903
31,"(555.2323151700867, 296.92296003569044)",Roles.CLUSTER_HEAD,9.783527446399763
32,"(521.4624713803374, 363.86985911479513)",Roles.ROUTER,9.528091513599854
33,"(569.9859632760746, 424.05509087071204)",Roles.CLUSTER_HEAD,9.580345251199741
34,"(557.7200595288871, 522.0506755652727)",Roles.ROUTER,9.334428652799865
35,"(578.1675753581486, 570.7212259419553)",Roles.ROUTER,9.345035587199778
36,"(572.0054778544193, 664.3222192721264)",Roles.CLUSTER_HEAD,9.623580588799655
37,"(582.4927592381741, 740.2284742257018)",Roles.CLUSTER_HEAD,9.830603807999765
38,"(587.5378132553625, 784.0391996730152)",Roles.ROUTER,9.716788499199772
39,"(595.0514568377649, 892.563700607582)",Roles.CLUSTER_HEAD,9.956745286399986
40,"(576.622956559712, 222.17851268988608)",Roles.REGISTERED,9.842160700799905
41,"(625.9039045187424, 272.6499393636584)",Roles.CLUSTER_HEAD,9.835891865599883
42,"(604.0598339027015, 338.4320866724434)",Roles.ROUTER,9.790618969599862
43,"(606.7305091561462, 414.514216061501)",Roles.ROUTER,9.645031766399821
44,"(617.7608059076147, 522.5978825867716)",Roles.UNREGISTERED,9.886734319999743
45,"(644.9101402281187, 564.7246388549736)",Roles.UNREGISTERED,9.868892646399708
46,"(644.8246827996414, 630.7095322846005)",Roles.CLUSTER_HEAD,9.400504073599674
47,"(644.6671235639299, 739.8101505592612)",Roles.CLUSTER_HEAD,9.822872207999854
48,"(647.6729074492374, 811.507611539258)",Roles.REGISTERED,9.957244505599931
49,"(690.7781758925499, 871.5827773574888)",Roles.UNREGISTERED,9.977086271999958
50,"(661.26870066593, 194.8657684573761)",Roles.REGISTERED,9.888879558399886
51,"(705.4946658612146, 272.28342581711917)",Roles.ROUTER,9.854037203199923
52,"(686.3332513513797, 366.61224522463965)",Roles.UNREGISTERED,9.951029295999913
53,"(704.038591831107, 434.7525445806233)",Roles.CLUSTER_HEAD,9.752793385599848
54,"(706.1947719933489, 476.53501383770185)",Roles.REGISTERED,9.84355346559989
55,"(727.6692756717077, 582.991194587554)",Roles.ROUTER,9.541021151999836
56,"(731.8725625047855, 631.2841661154864)",Roles.ROUTER,9.633599142399632
57,"(704.872008676226, 703.5363438943455)",Roles.ROUTER,9.651816409599704
58,"(755.8588156622977, 789.8939902871259)",Roles.ROUTER,9.75854341119981
59,"(745.74703613384, 856.5195564212204)",Roles.REGISTERED,9.865019516799858
60,"(767.5263330481636, 204.52919856437077)",Roles.UNREGISTERED,9.928151747199902
61,"(777.540649760619, 273.0426245076645)",Roles.CLUSTER_HEAD,9.873325267199945
62,"(783.4943213961182, 364.00086347163585)",Roles.REGISTERED,9.813263926399845
63,"(749.3711687542382, 410.0203727733086)",Roles.ROUTER,9.676714284799864
64,"(783.6691351511155, 519.8282873008214)",Roles.REGISTERED,9.777720150399556
65,"(787.117537522474, 596.8976950891158)",Roles.CLUSTER_HEAD,9.566523139199791
66,"(795.2053683622926, 625.8600098361618)",Roles.CLUSTER_HEAD,9.741430547199549
67,"(797.616235650956, 714.0675857730556)",Roles.CLUSTER_HEAD,9.622065484799847
68,"(827.8768371521461, 815.5569530975258)",Roles.REGISTERED,9.834658691199824
69,"(799.2571570497363, 871.4620207298658)",Roles.CLUSTER_HEAD,9.829445135999908
70,"(804.820255129673, 193.96168549812865)",Roles.ROUTER,9.936921180799946
71,"(853.2222319701289, 291.8846375074648)",Roles.ROUTER,9.895308841599888
72,"(853.3975591456548, 351.62602075734753)",Roles.ROUTER,9.735898025599798
73,"(824.5200226771385, 406.65085061255627)",Roles.CLUSTER_HEAD,9.701643622399743
74,"(856.9104369778067, 488.4004971977756)",Roles.CLUSTER_HEAD,9.684355865599727
