Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.CLUSTER_HEAD,4.920755867200016
1,"(288.39593518355304, 288.0481222456288)",Roles.REGISTERED,4.929718145600025
2,"(308.98076116618637, 335.49774031857385)",Roles.CLUSTER_HEAD,4.92339807520002
3,"(342.16585212788175, 419.4904403510567)",Roles.ROUTER,4.796913737600013
4,"(343.3578814573981, 509.7916433384222)",Roles.REGISTERED,4.819810171200044
5,"(352.5913183498242, 579.5576717500652)",Roles.CLUSTER_HEAD,4.827253611200095
6,"(335.8714816088192, 626.1161055510662)",Roles.CLUSTER_HEAD,4.910409644800016
7,"(327.96024692771925, 744.0616929461078)",Roles.CLUSTER_HEAD,4.955900848000017
8,"(383.45203251470497, 811.2926300723258)",Roles.ROUTER,4.7286961919999655
9,"(380.6850497565745, 896.9583509474294)",Roles.CLUSTER_HEAD,4.726972619199988
10,"(367.2850207354376, 208.84242699249873)",Roles.ROUTER,4.858892481600026
11,"(405.1122227645597, 296.3253311892933)",Roles.CLUSTER_HEAD,4.668976169599945
12,"(410.8134917752647, 371.10942812349435)",Roles.ROUTER,4.604721935999905
13,"(403.9676452400324, 436.1819505169789)",Roles.CLUSTER_HEAD,4.7424845776000835
14,"(417.1573330211249, 519.7787697320746)",Roles.ROUTER,4.030970259199487
15,"(412.5399850072118, 598.3605136804681)",Roles.ROUTER,4.458681059199826
16,"(440.50925294693764, 634.4924864558013)",Roles.ROUTER,3.812986241599677
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999998.395296066
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,4.459199993599787
19,"(454.6865327646599, 870.2144046926178)",Roles.ROUTER,4.66062109439993
20,"(443.35619157135443, 219.1366012033227)",Roles.ROUTER,4.824988443200021
21,"(469.4107732082542, 254.32337948641242)",Roles.REGISTERED,4.807981968000048
22,"(445.396563104705, 333.1849148574987)",Roles.CLUSTER_HEAD,4.843625793600084
23,"(466.0261333322873, 436.63829044609327)",Roles.CLUSTER_HEAD,4.455359593599848
24,"(470.42647134638656, 517.4150787231281)",Roles.REGISTERED,4.741198116800116
25,"(491.4087952649592, 582.3578082659651)",Roles.CLUSTER_HEAD,3.111631286400105
26,"(481.3468673013436, 625.615079242931)",Roles.REGISTERED,4.789057507200033
27,"(523.5043217466362, 727.4169233561219)",Roles.ROUTER,3.6822234815996575
28,"(502.1912945629907, 817.3730494744311)",Roles.REGISTERED,4.7177497664000345
29,"(537.9877507944701, 882.9607406809912)",Roles.CLUSTER_HEAD,4.87512166240002
30,"(536.4700090161373, 194.184481644502)",Roles.CLUSTER_HEAD,4.896786921600027
31,"(555.2323151700867, 296.92296003569044)",Roles.CLUSTER_HEAD,4.741647764800008
32,"(521.4624713803374, 363.86985911479513)",Roles.ROUTER,4.59968611199994
33,"(569.9859632760746, 424.05509087071204)",Roles.CLUSTER_HEAD,4.508723241599883
34,"(557.7200595288871, 522.0506755652727)",Roles.ROUTER,4.196274118399604
35,"(578.1675753581486, 570.7212259419553)",Roles.REGISTERED,4.6782314512000065
36,"(572.0054778544193, 664.3222192721264)",Roles.CLUSTER_HEAD,4.485102031999908
37,"(582.4927592381741, 740.2284742257018)",Roles.REGISTERED,4.720696406400009
38,"(587.5378132553625, 784.0391996730152)",Roles.CLUSTER_HEAD,4.1142366687995935
39,"(595.0514568377649, 892.563700607582)",Roles.CLUSTER_HEAD,4.784872139199989
40,"(576.622956559712, 222.17851268988608)",Roles.REGISTERED,4.8568032976000355
41,"(625.9039045187424, 272.6499393636584)",Roles.CLUSTER_HEAD,4.701630051199963
42,"(604.0598339027015, 338.4320866724434)",Roles.ROUTER,4.562649127999923
43,"(606.7305091561462, 414.514216061501)",Roles.ROUTER,4.593634169599925
