Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.CLUSTER_HEAD,9.665923667199614
1,"(288.39593518355304, 288.0481222456288)",Roles.ROUTER,9.55262609599961
2,"(308.98076116618637, 335.49774031857385)",Roles.CLUSTER_HEAD,9.433828108799617
3,"(342.16585212788175, 419.4904403510567)",Roles.ROUTER,8.812437983999352
4,"(343.3578814573981, 509.7916433384222)",Roles.CLUSTER_HEAD,9.068749158399271
5,"(352.5913183498242, 579.5576717500652)",Roles.ROUTER,8.82372589119942
6,"(335.8714816088192, 626.1161055510662)",Roles.REGISTERED,9.580301567999214
7,"(327.96024692771925, 744.0616929461078)",Roles.REGISTERED,9.901327852799923
8,"(383.45203251470497, 811.2926300723258)",Roles.CLUSTER_HEAD,9.425266959999174
9,"(380.6850497565745, 896.9583509474294)",Roles.CLUSTER_HEAD,9.549603900799344
10,"(367.2850207354376, 208.84242699249873)",Roles.CLUSTER_HEAD,9.540625110399628
11,"(405.1122227645597, 296.3253311892933)",Roles.ROUTER,8.998506028799028
12,"(410.8134917752647, 371.10942812349435)",Roles.CLUSTER_HEAD,8.138303049599795
13,"(403.9676452400324, 436.1819505169789)",Roles.REGISTERED,8.904869327998899
14,"(417.1573330211249, 519.7787697320746)",Roles.REGISTERED,8.397442659198976
15,"(412.5399850072118, 598.3605136804681)",Roles.CLUSTER_HEAD,7.049515206401004
16,"(440.50925294693764, 634.4924864558013)",Roles.ROUTER,4.378414905603155
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999996.9884747952
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,7.8338873280004915
19,"(454.6865327646599, 870.2144046926178)",Roles.REGISTERED,8.990433513599012
20,"(443.35619157135443, 219.1366012033227)",Roles.CLUSTER_HEAD,9.279198841599218
21,"(469.4107732082542, 254.32337948641242)",Roles.REGISTERED,8.72895632639996
22,"(445.396563104705, 333.1849148574987)",Roles.REGISTERED,9.395347654398812
23,"(466.0261333322873, 436.63829044609327)",Roles.CLUSTER_HEAD,8.047036889599354
24,"(470.42647134638656, 517.4150787231281)",Roles.ROUTER,8.543277756798876
25,"(491.4087952649592, 582.3578082659651)",Roles.DEAD,1.9990201760028494
26,"(481.3468673013436, 625.615079242931)",Roles.REGISTERED,8.796159679998773
27,"(523.5043217466362, 727.4169233561219)",Roles.ROUTER,7.373194819200697
28,"(502.1912945629907, 817.3730494744311)",Roles.CLUSTER_HEAD,8.125328012799173
29,"(537.9877507944701, 882.9607406809912)",Roles.ROUTER,8.993944342399704
30,"(536.4700090161373, 194.184481644502)",Roles.REGISTERED,9.361888335999371
31,"(555.2323151700867, 296.92296003569044)",Roles.ROUTER,8.343041110398776
32,"(521.4624713803374, 363.86985911479513)",Roles.CLUSTER_HEAD,6.781491408001451
33,"(569.9859632760746, 424.05509087071204)",Roles.ROUTER,7.660958572799674
34,"(557.7200595288871, 522.0506755652727)",Roles.CLUSTER_HEAD,5.899008988802201
35,"(578.1675753581486, 570.7212259419553)",Roles.CLUSTER_HEAD,4.31710200640371
36,"(572.0054778544193, 664.3222192721264)",Roles.CLUSTER_HEAD,7.632938326399578
37,"(582.4927592381741, 740.2284742257018)",Roles.REGISTERED,8.96952180799909
38,"(587.5378132553625, 784.0391996730152)",Roles.CLUSTER_HEAD,9.078295881598752
39,"(595.0514568377649, 892.563700607582)",Roles.CLUSTER_HEAD,9.222197590399528
40,"(576.622956559712, 222.17851268988608)",Roles.CLUSTER_HEAD,8.693358924799668
41,"(625.9039045187424, 272.6499393636584)",Roles.REGISTERED,9.015310511998972
42,"(604.0598339027015, 338.4320866724434)",Roles.CLUSTER_HEAD,8.717779609598978
43,"(606.7305091561462, 414.514216061501)",Roles.REGISTERED,8.775896841599245
44,"(617.7608059076147, 522.5978825867716)",Roles.CLUSTER_HEAD,9.199215657598518
45,"(644.9101402281187, 564.7246388549736)",Roles.REGISTERED,8.987421260798222
46,"(644.8246827996414, 630.7095322846005)",Roles.ROUTER,4.0416404096036995
47,"(644.6671235639299, 739.8101505592612)",Roles.ROUTER,8.897988367999734
48,"(647.6729074492374, 811.507611539258)",Roles.REGISTERED,9.138454102399354
49,"(690.7781758925499, 871.5827773574888)",Roles.ROUTER,9.348871465599526
50,"(661.26870066593, 194.8657684573761)",Roles.REGISTERED,9.171654940799417
51,"(705.4946658612146, 272.28342581711917)",Roles.CLUSTER_HEAD,8.557222556799854
52,"(686.3332513513797, 366.61224522463965)",Roles.ROUTER,8.705173654399143
53,"(704.038591831107, 434.7525445806233)",Roles.CLUSTER_HEAD,9.169454575999172
54,"(706.1947719933489, 476.53501383770185)",Roles.REGISTERED,8.98653535359987
55,"(727.6692756717077, 582.991194587554)",Roles.CLUSTER_HEAD,5.303560576002958
56,"(731.8725625047855, 631.2841661154864)",Roles.CLUSTER_HEAD,8.7953876159985
57,"(704.872008676226, 703.5363438943455)",Roles.CLUSTER_HEAD,8.23150367039943
58,"(755.8588156622977, 789.8939902871259)",Roles.REGISTERED,8.829369308799418
59,"(745.74703613384, 856.5195564212204)",Roles.CLUSTER_HEAD,8.950845574399374
60,"(767.5263330481636, 204.52919856437077)",Roles.ROUTER,9.24334103039942
61,"(777.540649760619, 273.0426245076645)",Roles.REGISTERED,9.08519699519925
62,"(783.4943213961182, 364.00086347163585)",Roles.CLUSTER_HEAD,8.769074732799247
63,"(749.3711687542382, 410.0203727733086)",Roles.CLUSTER_HEAD,8.547230534399269
64,"(783.6691351511155, 519.8282873008214)",Roles.ROUTER,7.5038099743991165
65,"(787.117537522474, 596.8976950891158)",Roles.ROUTER,7.504912796800191
66,"(795.2053683622926, 625.8600098361618)",Roles.ROUTER,8.55993559359857
67,"(797.616235650956, 714.0675857730556)",Roles.CLUSTER_HEAD,7.799154233599576
68,"(827.8768371521461, 815.5569530975258)",Roles.CLUSTER_HEAD,8.812152838399392
69,"(799.2571570497363, 871.4620207298658)",Roles.ROUTER,8.872267161599453
70,"(804.820255129673, 193.96168549812865)",Roles.CLUSTER_HEAD,9.58114406079942
71,"(853.2222319701289, 291.8846375074648)",Roles.REGISTERED,8.943771497599247
72,"(853.3975591456548, 351.62602075734753)",Roles.CLUSTER_HEAD,7.8478374335995955
73,"(824.5200226771385, 406.65085061255627)",Roles.ROUTER,8.267428051198905
74,"(856.9104369778067, 488.4004971977756)",Roles.CLUSTER_HEAD,6.8759555936007555
75,"(862.7944241617367, 562.7645613134309)",Roles.CLUSTER_HEAD,7.108066454400744
76,"(850.6956456196365, 636.7594755692108)",Roles.CLUSTER_HEAD,8.658735011198797
77,"(891.4769922771706, 735.7554319826011)",Roles.CLUSTER_HEAD,8.00457082879953
78,"(888.997852858592, 813.5126579941343)",Roles.REGISTERED,9.141731561598785
79,"(887.8299463067924, 869.0115119763345)",Roles.CLUSTER_HEAD,9.368319119999473
80,"(882.3664191471435, 181.2508625316983)",Roles.REGISTERED,9.731576300799809
81,"(911.8703961304961, 296.3082721002547)",Roles.CLUSTER_HEAD,7.867167465599977
82,"(917.513737687362, 353.29832586711024)",Roles.CLUSTER_HEAD,8.505287007998568
83,"(915.7445901970447, 414.7776304052945)",Roles.ROUTER,7.973724585599306
84,"(910.7158050901328, 519.8379707623953)",Roles.REGISTERED,9.033744211199185
85,"(914.787586714241, 564.7868968592516)",Roles.ROUTER,7.6821722271992945
86,"(920.7274076684129, 645.6767216753597)",Roles.REGISTERED,8.515981094399521
87,"(966.9939106106846, 709.3961046038693)",Roles.ROUTER,8.663062095999141
88,"(964.3396437246403, 783.1009917391681)",Roles.ROUTER,7.965670374399333
89,"(976.5445020204113, 857.9472380667949)",Roles.ROUTER,9.081146399999476
90,"(971.7551417316364, 223.23468974913555)",Roles.CLUSTER_HEAD,9.404555955199534
91,"(984.6462723274614, 290.9175054334192)",Roles.ROUTER,9.148755871999164
92,"(1000.5805473316499, 340.7229870930795)",Roles.REGISTERED,9.090144780799307
93,"(988.3708170203939, 401.36312731001755)",Roles.CLUSTER_HEAD,9.244523151999648
94,"(1026.2801837532036, 511.3241864728073)",Roles.REGISTERED,9.762916617599661
95,"(1007.0634526436332, 569.9277580018955)",Roles.CLUSTER_HEAD,9.161461494399685
96,"(1010.8674768991073, 655.0723452008502)",Roles.REGISTERED,9.349382127999046
97,"(1015.0031412449454, 739.2567808247384)",Roles.CLUSTER_HEAD,9.291340255999039
98,"(1054.560469889236, 818.3806921125165)",Roles.CLUSTER_HEAD,8.90245352319976
99,"(1035.291349164801, 859.1611372461923)",Roles.CLUSTER_HEAD,9.630721878399502
